Designator,Mid X,Mid Y,Layer,Rotation
C1,14.92, 2.54,Top,270.0
C3,15.88, 8.89,Top,90.0
C9, 8.89, 5.71,Top,180.0
C10,16.51,15.88,Top,0.0
C11,15.88,12.70,Top,90.0
C12,12.70, 5.71,Top,0.0
IC1,-8.89,11.43,Top,0.0
R1,22.23, 8.89,Top,270.0
R2,19.05,11.87,Top,180.0
R3,10.79, 1.52,Top,0.0
R4,10.79, 3.56,Top,0.0
R5,34.61, 8.89,Top,90.0
R6,19.05,13.59,Top,180.0
R7,22.23,12.70,Top,270.0
R8,34.61,12.70,Top,90.0
R9,19.05, 9.72,Top,180.0
R10,19.05, 8.06,Top,180.0
U3,10.79,12.07,Top,90.0
U4,27.94,10.79,Top,0.0
