"Part";"Value";"Device";"Package";"Description";"LABEL01";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PIN1";"POPULARITY";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C5";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"C8";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"CAP-00810";"0.1uF";
"IC1";"ISO1540";"ISO7220M";"SO-08";"DUAL DIGITAL ISOLATORS";"";"";"ISO7220MD";"1390646";"61M6991";"";"0";"";"";
"IC2";"ISO1540";"ISO7220M";"SO-08";"DUAL DIGITAL ISOLATORS";"";"";"ISO7220MD";"1390646";"61M6991";"";"0";"";"";
"IC3";"ISO1540";"ISO7220M";"SO-08";"DUAL DIGITAL ISOLATORS";"";"";"ISO7220MD";"1390646";"61M6991";"";"0";"";"";
"IRIDIUM";"IRIDIUM";"22-23-2051";"22-23-2051";".100" (2.54mm) Center Header - 5 Pin";"";"MOLEX";"22-23-2051";"1462952";"38C9178";"";"4";"";"";
"JP2";"";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";
"Q1";"2STF2360";"PNP-TRANSISTOR_SOT89";"SOT89";"PNP TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q2";"SS8050";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q3";"2STF2360";"PNP-TRANSISTOR_SOT89";"SOT89";"PNP TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q4";"SS8050";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q5";"2STF2360";"PNP-TRANSISTOR_SOT89";"SOT89";"PNP TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q6";"SS8050";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q7";"2STF2360";"PNP-TRANSISTOR_SOT89";"SOT89";"PNP TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q8";"SS8050";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q9";"2STF2360";"PNP-TRANSISTOR_SOT89";"SOT89";"PNP TRANSISTOR";"";"";"";"";"";"";"";"";"";
"Q10";"SS8050";"NPN-TRANSISTOR_SOT23";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";
"R1";"10k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R2";"1k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R3";"2.2k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R4";"10k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R5";"1k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R6";"2.2k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R7";"10k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R8";"1k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R9";"2.2k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R10";"10k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R11";"1k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R12";"2.2k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R13";"10k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R14";"1k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R15";"2.2k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R16";"2.2k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R19";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"R20";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"RES-07857";"4.7k";
"U$1";"WASPMOTE_V1.5";"WASPMOTE_V1.5";"WASPMOTE_V1.5";"WaspMote v1.5";"";"";"";"";"";"";"";"";"";
"U3";"BME280";"BME280";"LGA-8-2.5X2.5";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";"";"";"";"";"";"";"IC-13090";"BME280";
"X1";"LAGOPUS";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";"";"";
"X2";"1-WIRE";"22-23-2031";"22-23-2031";".100" (2.54mm) Center Header - 3 Pin";"";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";"";"";
"X3";"SDI-12";"22-23-2031";"22-23-2031";".100" (2.54mm) Center Header - 3 Pin";"";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";"";"";
"X4";"MB-7389";"22-23-2031";"22-23-2031";".100" (2.54mm) Center Header - 3 Pin";"";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";"";"";
"X5";"1-WIRE";"22-23-2031";"22-23-2031";".100" (2.54mm) Center Header - 3 Pin";"";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";"";"";
"X6";"SDI-12";"22-23-2031";"22-23-2031";".100" (2.54mm) Center Header - 3 Pin";"";"MOLEX";"22-23-2031";"1462950";"30C0862";"";"";"";"";
"X9";"I2C - GPS";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";"";"";
